,zeros,ones,nonbinaries
0,160,140,0
1,143,157,0
2,172,128,0
3,158,142,0
4,149,151,0
5,156,144,0
6,135,165,0
7,154,146,0
8,130,170,0
9,154,146,0
10,144,156,0
11,148,152,0
12,163,137,0
13,134,166,0
14,146,154,0
15,151,149,0
16,160,140,0
17,153,147,0
18,155,145,0
19,148,152,0
20,152,148,0
21,144,156,0
22,157,143,0
23,132,168,0
24,148,152,0
25,162,138,0
26,148,152,0
27,163,137,0
28,146,154,0
29,155,145,0
30,151,149,0
31,150,150,0
32,140,160,0
33,155,145,0
34,158,142,0
35,141,159,0
36,150,150,0
37,159,141,0
38,138,162,0
39,143,157,0
40,166,134,0
41,130,170,0
42,140,160,0
43,163,137,0
44,149,151,0
45,140,160,0
46,168,132,0
47,154,146,0
48,158,142,0
49,137,163,0
50,152,148,0
51,154,146,0
52,155,145,0
53,148,152,0
54,161,139,0
55,152,148,0
56,160,140,0
57,147,153,0
58,149,151,0
59,149,151,0
60,148,152,0
61,163,137,0
62,155,145,0
63,161,139,0
64,143,157,0
65,148,152,0
66,134,166,0
67,138,162,0
68,137,163,0
69,154,146,0
70,149,151,0
71,147,153,0
72,149,151,0
73,143,157,0
74,151,149,0
75,155,145,0
76,153,147,0
77,156,144,0
78,151,149,0
79,144,156,0
80,152,148,0
81,147,153,0
82,158,142,0
83,152,148,0
84,146,154,0
85,145,155,0
86,140,160,0
87,145,155,0
88,157,143,0
89,152,148,0
90,150,150,0
91,145,155,0
92,155,145,0
93,150,150,0
94,151,149,0
95,143,157,0
96,147,153,0
97,158,142,0
98,163,137,0
99,164,136,0
100,150,150,0
101,166,134,0
102,168,132,0
103,155,145,0
104,137,163,0
105,147,153,0
106,131,169,0
107,148,152,0
108,151,149,0
109,135,165,0
110,143,157,0
111,159,141,0
112,139,161,0
113,143,157,0
114,167,133,0
115,164,136,0
116,153,147,0
117,141,159,0
118,157,143,0
119,159,141,0
120,159,141,0
121,166,134,0
122,151,149,0
123,152,148,0
124,155,145,0
125,160,140,0
126,148,152,0
127,160,140,0
128,134,166,0
129,156,144,0
130,148,152,0
131,131,169,0
132,144,156,0
133,145,155,0
134,137,163,0
135,144,156,0
136,147,153,0
137,157,143,0
138,146,154,0
139,157,143,0
140,154,146,0
141,149,151,0
142,160,140,0
143,146,154,0
144,157,143,0
145,143,157,0
146,148,152,0
147,138,162,0
148,150,150,0
149,160,140,0
150,152,148,0
151,150,150,0
152,161,139,0
153,147,153,0
154,145,155,0
155,144,156,0
156,156,144,0
157,144,156,0
158,155,145,0
159,160,140,0
160,147,153,0
161,151,149,0
162,151,149,0
163,157,143,0
164,149,151,0
165,157,143,0
166,152,148,0
167,161,139,0
168,153,147,0
169,158,142,0
170,154,146,0
171,131,169,0
172,156,144,0
173,156,144,0
174,148,152,0
175,154,146,0
176,141,159,0
177,142,158,0
178,155,145,0
179,150,150,0
180,157,143,0
181,158,142,0
182,139,161,0
183,143,157,0
184,142,158,0
185,157,143,0
186,155,145,0
187,155,145,0
188,139,161,0
189,139,161,0
190,140,160,0
191,148,152,0
192,147,153,0
193,148,152,0
194,166,134,0
195,157,143,0
196,148,152,0
197,154,146,0
198,157,143,0
199,147,153,0
200,148,152,0
201,151,149,0
202,148,152,0
203,146,154,0
204,155,145,0
205,128,172,0
206,160,140,0
207,147,153,0
208,147,153,0
209,137,163,0
210,165,135,0
211,145,155,0
212,157,143,0
213,151,149,0
214,152,148,0
215,164,136,0
216,161,139,0
217,146,154,0
218,145,155,0
219,143,157,0
220,156,144,0
221,148,152,0
222,147,153,0
223,169,131,0
224,153,147,0
225,169,131,0
226,142,158,0
227,124,176,0
228,151,149,0
229,153,147,0
230,138,162,0
231,155,145,0
232,154,146,0
233,151,149,0
234,129,171,0
235,151,149,0
236,153,147,0
237,153,147,0
238,153,147,0
239,154,146,0
240,151,149,0
241,169,131,0
242,147,153,0
243,150,150,0
244,147,153,0
245,150,150,0
246,162,138,0
247,157,143,0
248,143,157,0
249,159,141,0
250,138,162,0
251,144,156,0
252,135,165,0
253,146,154,0
254,141,159,0
255,148,152,0
256,136,164,0
257,139,161,0
258,144,156,0
259,146,154,0
260,155,145,0
261,148,152,0
262,139,161,0
263,150,150,0
264,152,148,0
265,152,148,0
266,145,155,0
267,160,140,0
268,143,157,0
269,141,159,0
270,146,154,0
271,129,171,0
272,147,153,0
273,161,139,0
274,140,160,0
275,154,146,0
276,140,160,0
277,158,142,0
278,164,136,0
279,135,165,0
280,147,153,0
281,141,159,0
282,145,155,0
283,146,154,0
284,158,142,0
285,147,153,0
286,161,139,0
287,147,153,0
288,136,164,0
289,162,138,0
290,147,153,0
291,149,151,0
292,135,165,0
293,157,143,0
294,139,161,0
295,152,148,0
296,147,153,0
297,153,147,0
298,147,153,0
299,145,155,0
300,136,164,0
301,158,142,0
302,143,157,0
303,147,153,0
304,147,153,0
305,132,168,0
306,164,136,0
307,146,154,0
308,149,151,0
309,148,152,0
310,154,146,0
311,146,154,0
312,165,135,0
313,156,144,0
314,155,145,0
315,144,156,0
316,151,149,0
317,146,154,0
318,158,142,0
319,149,151,0
320,152,148,0
321,152,148,0
322,164,136,0
323,155,145,0
324,149,151,0
325,141,159,0
326,141,159,0
327,154,146,0
328,154,146,0
329,153,147,0
330,147,153,0
331,144,156,0
332,158,142,0
333,149,151,0
334,140,160,0
335,165,135,0
336,142,158,0
337,135,165,0
338,144,156,0
339,153,147,0
340,161,139,0
341,156,144,0
342,159,141,0
343,152,148,0
344,146,154,0
345,161,139,0
346,143,157,0
347,151,149,0
348,152,148,0
349,143,157,0
350,148,152,0
351,143,157,0
352,131,169,0
353,151,149,0
354,149,151,0
355,148,152,0
356,161,139,0
357,160,140,0
358,134,166,0
359,157,143,0
360,142,158,0
361,152,148,0
362,142,158,0
363,149,151,0
364,154,146,0
365,153,147,0
366,153,147,0
367,148,152,0
368,149,151,0
369,150,150,0
370,158,142,0
371,137,163,0
372,151,149,0
373,158,142,0
374,147,153,0
375,142,158,0
376,142,158,0
377,150,150,0
378,133,167,0
379,147,153,0
380,153,147,0
381,145,155,0
382,151,149,0
383,164,136,0
384,154,146,0
385,156,144,0
386,154,146,0
387,142,158,0
388,158,142,0
389,148,152,0
390,148,152,0
391,142,158,0
392,161,139,0
393,153,147,0
394,158,142,0
395,138,162,0
396,147,153,0
397,147,153,0
398,148,152,0
399,158,142,0
400,138,162,0
401,149,151,0
402,147,153,0
403,158,142,0
404,165,135,0
405,147,153,0
406,163,137,0
407,147,153,0
408,152,148,0
409,165,135,0
410,162,138,0
411,147,153,0
412,144,156,0
413,156,144,0
414,168,132,0
415,152,148,0
416,140,160,0
417,137,163,0
418,143,157,0
419,141,159,0
420,133,167,0
421,156,144,0
422,161,139,0
423,151,149,0
424,154,146,0
425,159,141,0
426,151,149,0
427,150,150,0
428,155,145,0
429,158,142,0
430,155,145,0
431,126,174,0
432,151,149,0
433,153,147,0
434,152,148,0
435,154,146,0
436,169,131,0
437,144,156,0
438,154,146,0
439,139,161,0
440,146,154,0
441,147,153,0
442,150,150,0
443,153,147,0
444,150,150,0
445,148,152,0
446,150,150,0
447,145,155,0
448,137,163,0
449,153,147,0
450,138,162,0
451,143,157,0
452,152,148,0
453,145,155,0
454,162,138,0
455,144,156,0
456,164,136,0
457,155,145,0
458,144,156,0
459,168,132,0
460,157,143,0
461,154,146,0
462,149,151,0
463,157,143,0
464,145,155,0
465,153,147,0
466,154,146,0
467,120,180,0
468,151,149,0
469,143,157,0
470,157,143,0
471,146,154,0
472,159,141,0
473,154,146,0
474,161,139,0
475,148,152,0
476,141,159,0
477,162,138,0
478,125,175,0
479,161,139,0
480,160,140,0
481,158,142,0
482,158,142,0
483,147,153,0
484,157,143,0
485,148,152,0
486,135,165,0
487,130,170,0
488,154,146,0
489,146,154,0
490,153,147,0
491,155,145,0
492,147,153,0
493,144,156,0
494,150,150,0
495,158,142,0
496,160,140,0
497,147,153,0
498,153,147,0
499,162,138,0
500,153,147,0
501,167,133,0
502,155,145,0
503,152,148,0
504,146,154,0
505,156,144,0
506,150,150,0
507,157,143,0
508,128,172,0
509,146,154,0
510,139,161,0
511,144,156,0
512,147,153,0
513,149,151,0
514,152,148,0
515,156,144,0
516,138,162,0
517,143,157,0
518,157,143,0
519,146,154,0
520,156,144,0
521,154,146,0
522,156,144,0
523,149,151,0
524,162,138,0
525,152,148,0
526,144,156,0
527,156,144,0
528,148,152,0
529,149,151,0
530,155,145,0
531,132,168,0
532,152,148,0
533,156,144,0
534,142,158,0
535,160,140,0
536,152,148,0
537,150,150,0
538,140,160,0
539,161,139,0
540,146,154,0
541,143,157,0
542,153,147,0
543,144,156,0
544,148,152,0
545,154,146,0
546,154,146,0
547,144,156,0
548,152,148,0
549,154,146,0
550,159,141,0
551,146,154,0
552,152,148,0
553,155,145,0
554,140,160,0
555,152,148,0
556,142,158,0
557,163,137,0
558,160,140,0
559,160,140,0
560,149,151,0
561,139,161,0
562,156,144,0
563,153,147,0
564,158,142,0
565,159,141,0
566,141,159,0
567,152,148,0
568,142,158,0
569,148,152,0
570,155,145,0
571,139,161,0
572,146,154,0
573,159,141,0
574,170,130,0
575,172,128,0
576,148,152,0
577,146,154,0
578,152,148,0
579,136,164,0
580,147,153,0
581,146,154,0
582,158,142,0
583,160,140,0
584,151,149,0
585,143,157,0
586,143,157,0
587,148,152,0
588,161,139,0
589,155,145,0
590,146,154,0
591,159,141,0
592,155,145,0
593,136,164,0
594,148,152,0
595,152,148,0
596,145,155,0
597,141,159,0
598,152,148,0
599,144,156,0
600,148,152,0
601,157,143,0
602,162,138,0
603,167,133,0
604,146,154,0
605,141,159,0
606,164,136,0
607,154,146,0
608,144,156,0
609,144,156,0
610,137,163,0
611,146,154,0
612,154,146,0
613,142,158,0
614,157,143,0
615,144,156,0
616,152,148,0
617,151,149,0
618,155,145,0
619,152,148,0
620,150,150,0
621,142,158,0
622,159,141,0
623,152,148,0
624,140,160,0
625,154,146,0
626,155,145,0
627,165,135,0
628,156,144,0
629,158,142,0
630,136,164,0
631,152,148,0
632,166,134,0
633,151,149,0
634,131,169,0
635,161,139,0
636,160,140,0
637,149,151,0
638,156,144,0
639,181,119,0
640,154,146,0
641,156,144,0
642,137,163,0
643,149,151,0
644,158,142,0
645,159,141,0
646,163,137,0
647,146,154,0
648,147,153,0
649,152,148,0
650,144,156,0
651,142,158,0
652,156,144,0
653,145,155,0
654,135,165,0
655,157,143,0
656,139,161,0
657,150,150,0
658,153,147,0
659,145,155,0
660,149,151,0
661,149,151,0
662,145,155,0
663,140,160,0
664,147,153,0
665,147,153,0
666,158,142,0
667,153,147,0
668,159,141,0
669,153,147,0
670,140,160,0
671,155,145,0
672,165,135,0
673,146,154,0
674,141,159,0
675,153,147,0
676,151,149,0
677,130,170,0
678,155,145,0
679,146,154,0
680,150,150,0
681,155,145,0
682,152,148,0
683,151,149,0
684,156,144,0
685,153,147,0
686,139,161,0
687,155,145,0
688,150,150,0
689,166,134,0
690,146,154,0
691,152,148,0
692,138,162,0
693,154,146,0
694,151,149,0
695,151,149,0
696,139,161,0
697,144,156,0
698,153,147,0
699,152,148,0
700,147,153,0
701,146,154,0
702,158,142,0
703,157,143,0
704,151,149,0
705,161,139,0
706,164,136,0
707,165,135,0
708,153,147,0
709,156,144,0
710,150,150,0
711,139,161,0
712,146,154,0
713,135,165,0
714,153,147,0
715,143,157,0
716,149,151,0
717,162,138,0
718,139,161,0
719,147,153,0
720,154,146,0
721,153,147,0
722,147,153,0
723,156,144,0
724,144,156,0
725,164,136,0
726,145,155,0
727,156,144,0
728,171,129,0
729,157,143,0
730,156,144,0
731,149,151,0
732,160,140,0
733,154,146,0
734,134,166,0
735,161,139,0
736,150,150,0
737,149,151,0
738,142,158,0
739,160,140,0
740,154,146,0
741,150,150,0
742,159,141,0
743,152,148,0
744,158,141,1
745,151,149,0
746,156,144,0
747,151,149,0
748,149,151,0
749,146,154,0
750,149,151,0
751,159,141,0
752,150,150,0
753,137,163,0
754,152,148,0
755,155,145,0
756,143,157,0
757,134,166,0
758,150,150,0
759,172,128,0
760,152,148,0
761,149,151,0
762,140,160,0
763,155,145,0
764,170,130,0
765,145,155,0
766,140,160,0
767,147,153,0
768,146,154,0
769,146,154,0
770,153,147,0
771,156,144,0
772,145,155,0
773,153,147,0
774,157,143,0
775,136,164,0
776,156,144,0
777,138,162,0
778,156,144,0
779,123,177,0
780,143,157,0
781,135,165,0
782,146,154,0
783,157,143,0
784,143,157,0
785,158,142,0
786,164,136,0
787,156,144,0
788,134,166,0
789,165,135,0
790,144,156,0
791,149,151,0
792,136,164,0
793,156,144,0
794,156,144,0
795,139,161,0
796,127,173,0
797,158,142,0
798,145,155,0
799,152,148,0
800,140,160,0
801,146,154,0
802,147,153,0
803,142,158,0
804,147,153,0
805,152,148,0
806,144,156,0
807,158,142,0
808,155,145,0
809,170,130,0
810,161,139,0
811,163,137,0
812,143,157,0
813,152,148,0
814,152,148,0
815,157,143,0
816,156,144,0
817,154,146,0
818,143,157,0
819,161,139,0
820,152,148,0
821,143,157,0
822,146,154,0
823,155,145,0
824,146,154,0
825,128,172,0
826,158,142,0
827,161,139,0
828,140,160,0
829,165,135,0
830,157,143,0
831,150,150,0
832,138,162,0
833,166,134,0
834,145,155,0
835,130,170,0
836,148,152,0
837,154,146,0
838,144,156,0
839,147,153,0
840,145,155,0
841,162,138,0
842,148,152,0
843,148,152,0
844,153,147,0
845,168,132,0
846,150,150,0
847,138,162,0
848,140,160,0
849,160,140,0
850,148,152,0
851,124,176,0
852,134,166,0
853,131,169,0
854,152,148,0
855,153,147,0
856,144,156,0
857,154,146,0
858,161,139,0
859,143,157,0
860,153,147,0
861,141,159,0
862,148,152,0
863,151,149,0
864,151,149,0
865,145,155,0
866,165,135,0
867,153,147,0
868,157,143,0
869,146,154,0
870,143,157,0
871,151,149,0
872,138,162,0
873,147,153,0
874,157,143,0
875,142,158,0
876,132,168,0
877,167,133,0
878,138,162,0
879,147,153,0
880,154,146,0
881,158,142,0
882,148,152,0
883,149,151,0
884,149,151,0
885,151,149,0
886,144,156,0
887,162,138,0
888,154,146,0
889,143,157,0
890,167,133,0
891,154,146,0
892,163,137,0
893,136,164,0
894,169,131,0
895,156,144,0
896,141,159,0
897,156,144,0
898,152,148,0
899,150,150,0
900,156,144,0
901,154,146,0
902,144,156,0
903,146,154,0
904,144,156,0
905,140,160,0
906,135,165,0
907,149,151,0
908,142,158,0
909,153,147,0
910,154,146,0
911,144,156,0
912,150,150,0
913,144,156,0
914,158,142,0
915,141,159,0
916,164,136,0
917,153,147,0
918,138,162,0
919,131,169,0
920,157,143,0
921,134,166,0
922,148,152,0
923,141,159,0
924,158,142,0
925,123,177,0
926,156,144,0
927,169,131,0
928,141,159,0
929,160,140,0
930,165,135,0
931,146,154,0
932,160,140,0
933,152,148,0
934,146,154,0
935,147,153,0
936,138,162,0
937,143,157,0
938,137,163,0
939,152,148,0
940,157,143,0
941,155,145,0
942,144,156,0
943,147,153,0
944,142,158,0
945,144,156,0
946,144,156,0
947,155,145,0
948,135,165,0
949,141,159,0
950,158,142,0
951,143,157,0
952,137,163,0
953,151,149,0
954,149,151,0
955,150,150,0
956,149,151,0
957,153,147,0
958,151,149,0
959,164,136,0
960,152,148,0
961,137,163,0
962,145,155,0
963,160,140,0
964,159,141,0
965,158,142,0
966,139,161,0
967,138,162,0
968,144,156,0
969,157,143,0
970,161,139,0
971,148,152,0
972,155,145,0
973,158,142,0
974,152,148,0
975,148,152,0
976,153,147,0
977,153,147,0
978,154,146,0
979,152,148,0
980,130,170,0
981,160,140,0
982,149,151,0
983,151,149,0
984,158,142,0
985,145,155,0
986,151,149,0
987,137,163,0
988,147,153,0
989,150,150,0
990,144,156,0
991,155,145,0
992,150,150,0
993,136,164,0
994,146,154,0
995,154,146,0
996,154,146,0
997,146,154,0
998,162,138,0
999,153,147,0
